Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
830,a5c0c9aa,GitHub,02dfa7ec,data/02dfa7ec/test/a5c0c9aa.py,524,524,F,,,,,Key
1979,58f9092a,GitHub,02dfa7ec,data/02dfa7ec/_/58f9092a.py,439,439,F,,,,,Key
10802,5037a089,GitHub,02dfa7ec,data/02dfa7ec/_/5037a089.py,71,71,F,,,,,Password
10872,5037a089,GitHub,02dfa7ec,data/02dfa7ec/_/5037a089.py,75,75,F,,,,,Password
10888,5037a089,GitHub,02dfa7ec,data/02dfa7ec/_/5037a089.py,73,73,F,,,,,Password
11730,58f9092a,GitHub,02dfa7ec,data/02dfa7ec/_/58f9092a.py,278,278,F,,,,,Password
14419,58f9092a,GitHub,02dfa7ec,data/02dfa7ec/_/58f9092a.py,1022,1022,F,,,,,Password
23839,bf62c906,GitHub,02dfa7ec,data/02dfa7ec/setting/bf62c906.py,10,10,F,,,,,Password
29502,e43ec22b,GitHub,02dfa7ec,data/02dfa7ec/test/setting/e43ec22b.py,15,15,T,25,41,,,Password
35963,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,100,100,X,26,90,,,Other
36233,3f04cb2a,GitHub,02dfa7ec,data/02dfa7ec/test/3f04cb2a.py,32,32,X,29,33,,,Password
37642,3f04cb2a,GitHub,02dfa7ec,data/02dfa7ec/test/3f04cb2a.py,49,49,X,29,33,,,Password
37643,3f04cb2a,GitHub,02dfa7ec,data/02dfa7ec/test/3f04cb2a.py,60,60,X,29,33,,,Password
37644,3f04cb2a,GitHub,02dfa7ec,data/02dfa7ec/test/3f04cb2a.py,70,70,X,29,33,,,Password
37645,3f04cb2a,GitHub,02dfa7ec,data/02dfa7ec/test/3f04cb2a.py,83,83,X,29,33,,,Password
50371,a5c0c9aa,GitHub,02dfa7ec,data/02dfa7ec/test/a5c0c9aa.py,60,60,T,25,41,,,Password
64018,a5c0c9aa,GitHub,02dfa7ec,data/02dfa7ec/test/a5c0c9aa.py,537,537,F,,,,,Key
64019,a5c0c9aa,GitHub,02dfa7ec,data/02dfa7ec/test/a5c0c9aa.py,551,551,F,,,,,Key
107468,5cee1512,GitHub,02dfa7ec,data/02dfa7ec/model/5cee1512.py,99,99,F,,,,,Password
107469,5cee1512,GitHub,02dfa7ec,data/02dfa7ec/model/5cee1512.py,104,104,F,,,,,Password
107470,5cee1512,GitHub,02dfa7ec,data/02dfa7ec/model/5cee1512.py,391,391,F,,,,,Key
107471,5cee1512,GitHub,02dfa7ec,data/02dfa7ec/model/5cee1512.py,398,398,F,,,,,Key
107472,58f9092a,GitHub,02dfa7ec,data/02dfa7ec/_/58f9092a.py,722,722,F,,,,,Password
114005,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,153,153,F,,,,,Auth
131136,58f9092a,GitHub,02dfa7ec,data/02dfa7ec/_/58f9092a.py,1047,1047,F,,,,,Password
131138,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,175,175,F,,,,,Password
131141,5cee1512,GitHub,02dfa7ec,data/02dfa7ec/model/5cee1512.py,483,483,F,,,,,Password
11524630,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,277,277,F,39,75,,,Auth
11524631,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,296,296,F,37,45,,,Auth
11524632,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,299,299,F,39,112,,,Auth
11524633,3279f9a1,GitHub,02dfa7ec,data/02dfa7ec/setting/3279f9a1.py,307,307,F,39,79,,,Auth
11524634,bf62c906,GitHub,02dfa7ec,data/02dfa7ec/setting/bf62c906.py,11,11,F,66,80,,,Auth
11524635,bf62c906,GitHub,02dfa7ec,data/02dfa7ec/setting/bf62c906.py,12,12,F,76,101,,,Auth
11524636,a5c0c9aa,GitHub,02dfa7ec,data/02dfa7ec/test/a5c0c9aa.py,62,62,F,31,44,,,Password
11524637,e43ec22b,GitHub,02dfa7ec,data/02dfa7ec/test/setting/e43ec22b.py,17,17,F,31,44,,,Password
