Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
20036,b4b97601,GitHub,0b0a8cd6,data/0b0a8cd6/_/b4b97601.py,65,65,F,,,,,Key
32209,e244fd62,GitHub,0b0a8cd6,data/0b0a8cd6/_/e244fd62.py,19,19,T,69,73,,,Password
32210,a44c97c0,GitHub,0b0a8cd6,data/0b0a8cd6/_/a44c97c0.py,20,20,T,69,73,,,Password
32211,29890666,GitHub,0b0a8cd6,data/0b0a8cd6/_/29890666.py,71,71,T,71,75,,,Password
32226,2d066c71,GitHub,0b0a8cd6,data/0b0a8cd6/_/2d066c71.py,12,12,T,63,67,,,Password
32227,b4b97601,GitHub,0b0a8cd6,data/0b0a8cd6/_/b4b97601.py,14,14,T,63,67,,,Password
34995,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,677,677,T,53,85,,,Secret
36646,29890666,GitHub,0b0a8cd6,data/0b0a8cd6/_/29890666.py,92,92,T,67,71,,,Password
42779,29890666,GitHub,0b0a8cd6,data/0b0a8cd6/_/29890666.py,25,25,T,42,49,,,Password
107567,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,153,153,F,,,,,Auth
107568,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,192,192,F,,,,,Auth
107569,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,258,258,F,,,,,Auth
107570,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,301,301,F,,,,,Auth
107571,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,434,434,F,,,,,Auth
131171,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,159,159,F,,,,,Password
131172,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,174,174,F,,,,,Password
137863,29890666,GitHub,0b0a8cd6,data/0b0a8cd6/_/29890666.py,25,25,F,11,26,,,Password
137864,fe933fa0,GitHub,0b0a8cd6,data/0b0a8cd6/server/fe933fa0.py,677,677,F,25,35,,,Secret
