Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
322,fd19dc90,GitHub,0f133e09,data/0f133e09/public/fd19dc90.py,39,39,F,,,,,Secret
2893,544d9560,GitHub,0f133e09,data/0f133e09/_/544d9560.py,263,263,F,,,,,Key
7953,03c77d4f,GitHub,0f133e09,data/0f133e09/_/03c77d4f.py,316,316,F,,,,,Token
8232,d1362af0,GitHub,0f133e09,data/0f133e09/test/d1362af0.py,63,63,F,,,,,Dropbox App secret
8525,d90d9e92,GitHub,0f133e09,data/0f133e09/test/d90d9e92.py,78,78,F,,,,,Auth
8546,ec27d4ca,GitHub,0f133e09,data/0f133e09/test/ec27d4ca.py,92,92,F,,,,,Password
8547,ec27d4ca,GitHub,0f133e09,data/0f133e09/test/ec27d4ca.py,129,129,F,,,,,Password
8613,cd558fc3,GitHub,0f133e09,data/0f133e09/_/cd558fc3.py,806,806,F,,,,,Key
8630,ec27d4ca,GitHub,0f133e09,data/0f133e09/test/ec27d4ca.py,37,37,F,,,,,Password
8647,ec27d4ca,GitHub,0f133e09,data/0f133e09/test/ec27d4ca.py,64,64,F,,,,,Password
11450,03c77d4f,GitHub,0f133e09,data/0f133e09/_/03c77d4f.py,308,308,F,,,,,Token
11563,22f5eaf1,GitHub,0f133e09,data/0f133e09/test/22f5eaf1.py,139,139,F,,,,,Key
16482,8d612764,GitHub,0f133e09,data/0f133e09/test/8d612764.py,792,792,F,,,,,Jira / Confluence PAT token
16483,8d612764,GitHub,0f133e09,data/0f133e09/test/8d612764.py,445,445,F,,,,,Jira / Confluence PAT token
16484,8d612764,GitHub,0f133e09,data/0f133e09/test/8d612764.py,475,475,F,,,,,Jira / Confluence PAT token
17637,cd558fc3,GitHub,0f133e09,data/0f133e09/_/cd558fc3.py,802,802,F,,,,,Key
17643,cd558fc3,GitHub,0f133e09,data/0f133e09/_/cd558fc3.py,110,110,F,,,,,Password
17644,a9cdf635,GitHub,0f133e09,data/0f133e09/_/a9cdf635.py,444,444,F,,,,,Password
17645,cd558fc3,GitHub,0f133e09,data/0f133e09/_/cd558fc3.py,109,109,F,,,,,Token
17652,a9cdf635,GitHub,0f133e09,data/0f133e09/_/a9cdf635.py,534,534,F,,,,,Key
17680,0ccc1045,GitHub,0f133e09,data/0f133e09/_/0ccc1045.py,1464,1464,F,,,,,Password
20168,d27bec8f,GitHub,0f133e09,data/0f133e09/test/d27bec8f.py,64,64,F,,,,,Auth
20171,d27bec8f,GitHub,0f133e09,data/0f133e09/test/d27bec8f.py,54,54,F,,,,,Auth
20172,03cdc0c5,GitHub,0f133e09,data/0f133e09/test/03cdc0c5.py,95,95,T,123,143,,aws-id,AWS Client ID
1020172,03cdc0c5,GitHub,0f133e09,data/0f133e09/test/03cdc0c5.py,95,95,T,123,186,,aws-id,Credential
136761,03cdc0c5,GitHub,0f133e09,data/0f133e09/test/03cdc0c5.py,95,95,F,123,313,,short-therm-signature,AWS Multi
136760,03cdc0c5,GitHub,0f133e09,data/0f133e09/test/03cdc0c5.py,95,95,T,21,50,,info,AWS S3 Bucket
