Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
448,e05b8b9c,GitHub,36d0fbbb,data/36d0fbbb/_/e05b8b9c.py,109,109,F,,,,,Password:Salt
1476,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,564,564,F,,,,,Key
1554,e05b8b9c,GitHub,36d0fbbb,data/36d0fbbb/_/e05b8b9c.py,136,136,F,,,,,Password
2374,15025999,GitHub,36d0fbbb,data/36d0fbbb/_/15025999.py,184,184,F,,,,,Key
2925,15025999,GitHub,36d0fbbb,data/36d0fbbb/_/15025999.py,60,60,F,,,,,Key
3046,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,151,151,F,,,,,Key
3203,5e051ed1,GitHub,36d0fbbb,data/36d0fbbb/_/5e051ed1.py,23,23,F,,,,,Key
3205,756a36d6,GitHub,36d0fbbb,data/36d0fbbb/client/756a36d6.py,958,958,F,,,,,Key
3244,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,359,359,F,,,,,Auth
4955,81e96429,GitHub,36d0fbbb,data/36d0fbbb/example/81e96429.py,53,53,F,,,,,Token
6031,a62e3417,GitHub,36d0fbbb,data/36d0fbbb/example/a62e3417.py,23,23,F,,,,,API
6035,a62e3417,GitHub,36d0fbbb,data/36d0fbbb/example/a62e3417.py,24,24,F,,,,,API
6482,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,124,124,F,,,,,Token
6495,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,176,176,F,,,,,Token
6503,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,93,93,F,,,,,Token
6505,81e96429,GitHub,36d0fbbb,data/36d0fbbb/example/81e96429.py,60,60,F,,,,,Token
6524,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,182,182,F,,,,,Token
6575,c7b32a0b,GitHub,36d0fbbb,data/36d0fbbb/test/c7b32a0b.py,14,14,F,,,,,Key
7218,6383b15a,GitHub,36d0fbbb,data/36d0fbbb/lib/6383b15a.py,99,99,F,,,,,Key
7674,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,238,238,F,,,,,Key
7788,c451a47e,GitHub,36d0fbbb,data/36d0fbbb/_/c451a47e.py,89,89,F,,,,,Key
7795,53052150,GitHub,36d0fbbb,data/36d0fbbb/client/53052150.py,752,752,F,,,,,Key
8439,430fad16,GitHub,36d0fbbb,data/36d0fbbb/_/430fad16.py,77,77,F,,,,,Auth
8440,064aea3b,GitHub,36d0fbbb,data/36d0fbbb/_/064aea3b.py,51,51,F,,,,,Auth
8466,f911a7ec,GitHub,36d0fbbb,data/36d0fbbb/_/f911a7ec.py,21,21,F,,,,,Key
8474,d17733a1,GitHub,36d0fbbb,data/36d0fbbb/_/d17733a1.py,28,28,F,,,,,Token
8658,ffb3f5ac,GitHub,36d0fbbb,data/36d0fbbb/example/ffb3f5ac.py,202,202,F,,,,,Token
8659,4c5ed8e6,GitHub,36d0fbbb,data/36d0fbbb/client/4c5ed8e6.py,677,677,F,,,,,Auth
8814,f911a7ec,GitHub,36d0fbbb,data/36d0fbbb/_/f911a7ec.py,38,38,F,,,,,Key
8823,0c2cf498,GitHub,36d0fbbb,data/36d0fbbb/_/0c2cf498.py,179,179,F,,,,,Auth
8824,0e30dc51,GitHub,36d0fbbb,data/36d0fbbb/_/0e30dc51.py,42,42,F,,,,,Auth
8825,0c2cf498,GitHub,36d0fbbb,data/36d0fbbb/_/0c2cf498.py,66,66,F,,,,,Auth
11566,fe023227,GitHub,36d0fbbb,data/36d0fbbb/_/fe023227.py,75,75,F,,,,,Key
11567,eed65371,GitHub,36d0fbbb,data/36d0fbbb/_/eed65371.py,247,247,F,,,,,Key
11572,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,491,491,F,,,,,Key
11998,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,563,563,F,,,,,Key
12198,4dc0a42e,GitHub,36d0fbbb,data/36d0fbbb/_/4dc0a42e.py,244,244,F,,,,,Key
12550,b463fa52,GitHub,36d0fbbb,data/36d0fbbb/_/b463fa52.py,237,237,F,,,,,Key
12551,b463fa52,GitHub,36d0fbbb,data/36d0fbbb/_/b463fa52.py,242,242,F,,,,,Key
12667,0ce168e1,GitHub,36d0fbbb,data/36d0fbbb/client/0ce168e1.py,474,474,F,,,,,Key
13180,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,146,146,F,,,,,Password
14037,0c2cf498,GitHub,36d0fbbb,data/36d0fbbb/_/0c2cf498.py,309,309,F,,,,,Key
14077,e05b8b9c,GitHub,36d0fbbb,data/36d0fbbb/_/e05b8b9c.py,114,114,F,,,,,Password
17540,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,84,84,F,,,,,API
17572,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,83,83,F,,,,,API
21012,064aea3b,GitHub,36d0fbbb,data/36d0fbbb/_/064aea3b.py,125,125,F,,,,,Key
21130,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,98,98,F,,,,,Password
23721,81e96429,GitHub,36d0fbbb,data/36d0fbbb/example/81e96429.py,52,52,F,,,,,API
23736,81e96429,GitHub,36d0fbbb,data/36d0fbbb/example/81e96429.py,51,51,F,,,,,API
29654,31980c65,GitHub,36d0fbbb,data/36d0fbbb/example/31980c65.py,44,44,X,71,84,,,Password
30484,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,662,662,T,56,69,,,Password
30485,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,659,659,T,52,65,,,Password
30619,31980c65,GitHub,36d0fbbb,data/36d0fbbb/example/31980c65.py,61,61,X,18,49,,,Key:Secret
35971,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,150,150,F,70,74,,,Password
36023,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,243,243,F,70,76,,,Password
47935,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,403,403,F,,,,,API
47936,0ba61484,GitHub,36d0fbbb,data/36d0fbbb/example/client/0ba61484.py,402,402,F,,,,,API
49190,ffb3f5ac,GitHub,36d0fbbb,data/36d0fbbb/example/ffb3f5ac.py,39,39,F,,,,,API
49191,31980c65,GitHub,36d0fbbb,data/36d0fbbb/example/31980c65.py,52,52,F,,,,,API
49192,ffb3f5ac,GitHub,36d0fbbb,data/36d0fbbb/example/ffb3f5ac.py,38,38,F,,,,,API
49193,31980c65,GitHub,36d0fbbb,data/36d0fbbb/example/31980c65.py,51,51,F,,,,,API
63000,6383b15a,GitHub,36d0fbbb,data/36d0fbbb/lib/6383b15a.py,121,121,F,,,,,Key
74165,53052150,GitHub,36d0fbbb,data/36d0fbbb/client/53052150.py,433,433,F,,,,,Key
74166,53052150,GitHub,36d0fbbb,data/36d0fbbb/client/53052150.py,507,507,F,,,,,Key
74351,a703deda,GitHub,36d0fbbb,data/36d0fbbb/docs/a703deda.py,515,515,F,,,,,Key
74777,e05b8b9c,GitHub,36d0fbbb,data/36d0fbbb/_/e05b8b9c.py,122,122,F,,,,,Password
75208,b463fa52,GitHub,36d0fbbb,data/36d0fbbb/_/b463fa52.py,64,64,F,,,,,Auth
108430,e05b8b9c,GitHub,36d0fbbb,data/36d0fbbb/_/e05b8b9c.py,115,115,F,,,,,Password
131537,3a930e7b,GitHub,36d0fbbb,data/36d0fbbb/client/3a930e7b.py,353,353,F,,,,,Password
131551,31980c65,GitHub,36d0fbbb,data/36d0fbbb/example/31980c65.py,112,112,F,,,,,Password
1493484,7e20504a,GitHub,36d0fbbb,data/36d0fbbb/test/7e20504a.py,57,57,T,29,73,,,Key
1493485,7e20504a,GitHub,36d0fbbb,data/36d0fbbb/test/7e20504a.py,58,58,T,31,75,,,Nonce
11526738,430fad16,GitHub,36d0fbbb,data/36d0fbbb/_/430fad16.py,679,679,F,48,52,,,Salt
11526739,430fad16,GitHub,36d0fbbb,data/36d0fbbb/_/430fad16.py,680,680,F,43,47,,,Salt
11526740,430fad16,GitHub,36d0fbbb,data/36d0fbbb/_/430fad16.py,755,755,F,24,28,,,Salt
11526741,430fad16,GitHub,36d0fbbb,data/36d0fbbb/_/430fad16.py,790,790,F,45,49,,,Salt
