Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1534,ddf83423,GitHub,5cecf769,data/5cecf769/test/model/python/ddf83423.py,110,110,F,,,,,Token
2071,1bc0ebed,GitHub,5cecf769,data/5cecf769/test/tool/api/python/1bc0ebed.py,76,76,F,,,,,API
4971,15b5a776,GitHub,5cecf769,data/5cecf769/util/python/15b5a776.py,53,53,F,,,,,API
6029,5947e936,GitHub,5cecf769,data/5cecf769/test/tool/api/python/5947e936.py,69,69,F,,,,,API
6059,3ec31026,GitHub,5cecf769,data/5cecf769/python/3ec31026.py,1351,1351,F,,,,,API
6060,ae72d729,GitHub,5cecf769,data/5cecf769/python/ae72d729.py,1647,1647,F,,,,,API
6063,e09019c6,GitHub,5cecf769,data/5cecf769/python/e09019c6.py,950,950,F,,,,,API
6568,ae72d729,GitHub,5cecf769,data/5cecf769/python/ae72d729.py,46,46,F,,,,,API
6570,e09019c6,GitHub,5cecf769,data/5cecf769/python/e09019c6.py,50,50,F,,,,,API
7133,cde2b1fc,GitHub,5cecf769,data/5cecf769/test/python/cde2b1fc.py,998,998,F,,,,,API
11993,cde2b1fc,GitHub,5cecf769,data/5cecf769/test/python/cde2b1fc.py,997,997,F,,,,,API
11994,cde2b1fc,GitHub,5cecf769,data/5cecf769/test/python/cde2b1fc.py,990,990,F,,,,,API
11995,cde2b1fc,GitHub,5cecf769,data/5cecf769/test/python/cde2b1fc.py,1001,1001,F,,,,,API
13634,cde2b1fc,GitHub,5cecf769,data/5cecf769/test/python/cde2b1fc.py,991,991,F,,,,,API
24274,15b5a776,GitHub,5cecf769,data/5cecf769/util/python/15b5a776.py,52,52,F,,,,,API
24813,15b5a776,GitHub,5cecf769,data/5cecf769/util/python/15b5a776.py,51,51,F,,,,,API
42519,3ec31026,GitHub,5cecf769,data/5cecf769/python/3ec31026.py,1766,1766,F,,,,,API
47469,5947e936,GitHub,5cecf769,data/5cecf769/test/tool/api/python/5947e936.py,105,105,F,,,,,API
47470,5947e936,GitHub,5cecf769,data/5cecf769/test/tool/api/python/5947e936.py,142,142,F,,,,,API
47471,5947e936,GitHub,5cecf769,data/5cecf769/test/tool/api/python/5947e936.py,155,155,F,,,,,API
47472,5947e936,GitHub,5cecf769,data/5cecf769/test/tool/api/python/5947e936.py,125,125,F,,,,,API
110629,ae72d729,GitHub,5cecf769,data/5cecf769/python/ae72d729.py,820,820,F,,,,,API
1494239,36e1abc4,GitHub,5cecf769,data/5cecf769/python/36e1abc4.py,40,40,T,99,151,,,Token
1494240,36e1abc4,GitHub,5cecf769,data/5cecf769/python/36e1abc4.py,96,96,T,101,153,,,Token
1494245,107fec60,GitHub,5cecf769,data/5cecf769/test/util/107fec60.py,342,342,T,51,61,,,Key
11527539,107fec60,GitHub,5cecf769,data/5cecf769/test/util/107fec60.py,342,342,F,23,37,,,Key
11527541,15b5a776,GitHub,5cecf769,data/5cecf769/util/python/15b5a776.py,147,147,F,26,36,,,API
