Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
2702,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,424,424,F,,,,,Password
2703,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,411,411,F,,,,,Password
5337,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,20,20,F,,,,,Key
7216,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,476,476,F,,,,,Key
9746,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,442,442,F,,,,,Key
9747,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,253,253,F,,,,,Key
9771,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,251,251,F,,,,,Key
9772,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,292,292,F,,,,,Key
9773,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,252,252,F,,,,,Key
16320,28a6ce1b,GitHub,6ab520fe,data/6ab520fe/test/28a6ce1b.py,54,54,F,,,,,Key
16321,28a6ce1b,GitHub,6ab520fe,data/6ab520fe/test/28a6ce1b.py,86,86,F,,,,,Key
21341,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,310,310,F,,,,,Key
46807,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,496,496,F,,,,,Secret
55566,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,351,351,F,,,,,Key
55567,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,392,392,F,,,,,Key
62661,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,59,59,F,,,,,Key
62662,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,180,180,F,,,,,Key
63002,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,509,509,F,,,,,Key
76949,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,293,293,F,,,,,Key
76950,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,443,443,F,,,,,Key
76951,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,294,294,F,,,,,Key
76952,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,444,444,F,,,,,Key
100665,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,485,485,F,,,,,Secret
100666,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,486,486,F,,,,,Secret
100667,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,494,494,F,,,,,Secret
100668,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,495,495,F,,,,,Secret
100669,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,508,508,F,,,,,Secret
100670,ab2528e5,GitHub,6ab520fe,data/6ab520fe/test/ab2528e5.py,519,519,F,,,,,Secret
11527929,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,315,315,F,60,74,,,Password
11527930,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,469,469,F,65,76,,,Key
11527931,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,470,470,F,65,76,,,Key
11527932,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,488,488,F,68,78,,,Key
11527933,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,504,504,F,72,82,,,Key
11527934,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,520,520,F,68,78,,,Key
11527935,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,536,536,F,72,82,,,Key
11527936,4952053b,GitHub,6ab520fe,data/6ab520fe/_/4952053b.py,854,854,F,37,66,,,Key
