Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1014,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,503,503,F,,,,,API
13821,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,586,586,F,,,,,Key
16590,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,364,364,F,,,,,Secret
31519,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,13,13,X,34,40,,,Key:Secret
31522,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,13,13,X,34,40,,,Key:Secret
41120,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,13,13,X,34,40,,,Key:Secret
41782,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,538,538,F,,,,,API
42705,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,538,538,F,,,,,API
56047,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,388,388,F,,,,,Secret
56048,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,388,388,F,,,,,Secret
75074,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,538,538,F,,,,,Key
75075,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,586,586,F,,,,,Key
110909,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,12,12,F,,,,,Key
110910,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,12,12,F,,,,,Key
110911,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,12,12,F,,,,,Key
133430,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,910,910,F,,,,,Key
133431,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,926,926,F,,,,,Key
133432,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,950,950,F,,,,,Key
133433,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,952,952,F,,,,,Key
133434,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1050,1050,F,,,,,Key
133435,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1143,1143,F,,,,,Key
133436,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1235,1235,F,,,,,Key
133437,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1371,1371,F,,,,,Key
133438,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1391,1391,F,,,,,Key
133439,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1395,1395,F,,,,,Key
133440,0ed4f2dd,GitHub,72001588,data/72001588/kube/template/0ed4f2dd.py,1433,1433,F,,,,,Key
133441,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,842,842,F,,,,,Key
133442,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,858,858,F,,,,,Key
133443,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,876,876,F,,,,,Key
133444,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,878,878,F,,,,,Key
133445,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,976,976,F,,,,,Key
133446,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1069,1069,F,,,,,Key
133447,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1161,1161,F,,,,,Key
133448,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1293,1293,F,,,,,Key
133449,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1313,1313,F,,,,,Key
133450,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1317,1317,F,,,,,Key
133451,4a6e201d,GitHub,72001588,data/72001588/_/4a6e201d.py,1353,1353,F,,,,,Key
133452,eb486ff5,GitHub,72001588,data/72001588/_/eb486ff5.py,910,910,F,,,,,Key
