Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
832,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,28,28,F,,,,,Key
833,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,48,48,F,,,,,Key
834,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,38,38,F,,,,,Key
835,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,18,18,F,,,,,Key
836,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,8,8,F,,,,,Key
837,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,55,55,F,,,,,Key
838,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,128,128,F,,,,,Key
839,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,79,79,F,,,,,Key
840,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,65,65,F,,,,,Key
841,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,195,195,F,,,,,Key
842,4ca0e8bd,GitHub,75e7c64d,data/75e7c64d/model/4ca0e8bd.py,96,96,F,,,,,Key
8493,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,255,255,F,,,,,Key
8494,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,249,249,F,,,,,Key
8495,841e3aef,GitHub,75e7c64d,data/75e7c64d/_/841e3aef.py,103,103,F,,,,,Key
8496,46f1989d,GitHub,75e7c64d,data/75e7c64d/_/46f1989d.py,222,222,F,,,,,Key
8497,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,213,213,F,,,,,Key
8498,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,263,263,F,,,,,Key
8499,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,266,266,F,,,,,Key
8500,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,269,269,F,,,,,Key
8612,726dc9bc,GitHub,75e7c64d,data/75e7c64d/client/726dc9bc.py,20,20,F,,,,,Key
13323,30ece756,GitHub,75e7c64d,data/75e7c64d/_/30ece756.py,117,117,F,,,,,Key
14710,4ca0e8bd,GitHub,75e7c64d,data/75e7c64d/model/4ca0e8bd.py,13,13,F,,,,,Key
19119,726dc9bc,GitHub,75e7c64d,data/75e7c64d/client/726dc9bc.py,36,36,F,,,,,Key
21705,0f6303ab,GitHub,75e7c64d,data/75e7c64d/browser/0f6303ab.py,53,53,F,,,,,Key
55631,0f6303ab,GitHub,75e7c64d,data/75e7c64d/browser/0f6303ab.py,139,139,F,,,,,Key
64012,4ca0e8bd,GitHub,75e7c64d,data/75e7c64d/model/4ca0e8bd.py,124,124,F,,,,,Key
64013,46f1989d,GitHub,75e7c64d,data/75e7c64d/_/46f1989d.py,175,175,F,,,,,Key
64014,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,156,156,F,,,,,Key
64015,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,177,177,F,,,,,Key
64016,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,58,58,F,,,,,Key
64017,b131c39a,GitHub,75e7c64d,data/75e7c64d/script/b131c39a.py,69,69,F,,,,,Key
75214,46f1989d,GitHub,75e7c64d,data/75e7c64d/_/46f1989d.py,247,247,F,,,,,Key
75215,46f1989d,GitHub,75e7c64d,data/75e7c64d/_/46f1989d.py,250,250,F,,,,,Key
114450,0f6303ab,GitHub,75e7c64d,data/75e7c64d/browser/0f6303ab.py,112,112,F,,,,,Key
133463,841e3aef,GitHub,75e7c64d,data/75e7c64d/_/841e3aef.py,329,329,F,,,,,Key
1479362,0f6303ab,GitHub,75e7c64d,data/75e7c64d/browser/0f6303ab.py,101,101,F,,,,,Key
11528228,46f6519d,GitHub,75e7c64d,data/75e7c64d/_/46f6519d.py,292,292,F,53,58,,,Key
11528229,841e3aef,GitHub,75e7c64d,data/75e7c64d/_/841e3aef.py,100,100,F,68,77,,,Key
11528230,ace41640,GitHub,75e7c64d,data/75e7c64d/_/ace41640.py,22,22,F,68,77,,,Key
