Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
235,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,101,101,F,,,,,Password:Token
326,f15fa278,GitHub,78e5819e,data/78e5819e/security/app/f15fa278.py,33,33,F,,,,,Password
337,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,90,90,F,,,,,Password
370,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,49,49,F,,,,,Password:Token
371,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,70,70,F,,,,,Password
382,f15fa278,GitHub,78e5819e,data/78e5819e/security/app/f15fa278.py,29,29,F,,,,,Password
442,7dccaddd,GitHub,78e5819e,data/78e5819e/api/app/7dccaddd.py,54,54,F,,,,,Password
1559,2cf36eb8,GitHub,78e5819e,data/78e5819e/app/2cf36eb8.py,40,40,F,,,,,Password
1925,3a0501b0,GitHub,78e5819e,data/78e5819e/model/app/3a0501b0.py,16,16,F,,,,,Password
9434,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,96,96,F,,,,,Secret:Key
11242,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,55,55,F,,,,,Token
11772,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,88,88,F,,,,,Password
14404,a2048ae1,GitHub,78e5819e,data/78e5819e/test/util/app/a2048ae1.py,27,27,F,,,,,Password
18127,a2048ae1,GitHub,78e5819e,data/78e5819e/test/util/app/a2048ae1.py,14,14,F,,,,,Password
42871,a6f4a4a0,GitHub,78e5819e,data/78e5819e/app/a6f4a4a0.py,35,35,F,,,,,Password
74695,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,12,12,F,,,,,Password
74696,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,21,21,F,,,,,Password
74697,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,31,31,F,,,,,Password
74698,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,38,38,F,,,,,Password
74699,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,47,47,F,,,,,Password
74700,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,56,56,F,,,,,Password
74701,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,65,65,F,,,,,Password
74702,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,73,73,F,,,,,Password
74703,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,84,84,F,,,,,Password
74704,a2048ae1,GitHub,78e5819e,data/78e5819e/test/util/app/a2048ae1.py,41,41,F,,,,,Password
130903,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,48,48,F,,,,,Password
130904,7dccaddd,GitHub,78e5819e,data/78e5819e/api/app/7dccaddd.py,75,75,F,,,,,Password
130906,2cf36eb8,GitHub,78e5819e,data/78e5819e/app/2cf36eb8.py,18,18,F,,,,,Password
130907,2cf36eb8,GitHub,78e5819e,data/78e5819e/app/2cf36eb8.py,35,35,F,,,,,Password
130908,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,57,57,F,,,,,Password
130915,63c2be56,GitHub,78e5819e,data/78e5819e/test/app/63c2be56.py,89,89,F,,,,,Password
11528279,f15fa278,GitHub,78e5819e,data/78e5819e/security/app/f15fa278.py,9,9,F,37,43,,,Password
11528283,e841b4d6,GitHub,78e5819e,data/78e5819e/util/app/e841b4d6.py,103,103,F,76,81,,,Secret:Key:Token
