Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
8747,6608bd1a,GitHub,85d2b611,data/85d2b611/util/app/6608bd1a.py,37,37,F,,,,,Password
10892,e48a4b28,GitHub,85d2b611,data/85d2b611/util/app/e48a4b28.py,44,44,F,,,,,Key
14007,a67cb185,GitHub,85d2b611,data/85d2b611/test/a67cb185.py,14,14,F,,,,,Token
24990,2f38e05e,GitHub,85d2b611,data/85d2b611/test/conf/app/2f38e05e.py,13,13,F,,,,,Secret
25143,800b6d43,GitHub,85d2b611,data/85d2b611/conf/app/800b6d43.py,2,2,X,14,42,,,Key:Secret
25144,2f38e05e,GitHub,85d2b611,data/85d2b611/test/conf/app/2f38e05e.py,4,4,X,14,24,,,Key:Secret
29295,57f701b2,GitHub,85d2b611,data/85d2b611/_/57f701b2.py,103,103,X,38,41,,,URL Credentials
29297,6660ebf8,GitHub,85d2b611,data/85d2b611/example/conf/app/6660ebf8.py,11,11,X,38,41,,,URL Credentials
32531,57f701b2,GitHub,85d2b611,data/85d2b611/_/57f701b2.py,111,111,T,24,64,,,Secret
32538,8d876b70,GitHub,85d2b611,data/85d2b611/example/conf/docker/app/8d876b70.py,19,19,T,24,64,,,Secret
32620,8d876b70,GitHub,85d2b611,data/85d2b611/example/conf/docker/app/8d876b70.py,11,11,T,37,41,,,URL Credentials
32621,2f38e05e,GitHub,85d2b611,data/85d2b611/test/conf/app/2f38e05e.py,5,5,T,37,41,,,URL Credentials
32674,6660ebf8,GitHub,85d2b611,data/85d2b611/example/conf/app/6660ebf8.py,13,13,T,30,39,,,URL Credentials
32691,6660ebf8,GitHub,85d2b611,data/85d2b611/example/conf/app/6660ebf8.py,14,14,T,34,43,,,URL Credentials
33809,6660ebf8,GitHub,85d2b611,data/85d2b611/example/conf/app/6660ebf8.py,16,16,T,33,42,,,URL Credentials
49206,6660ebf8,GitHub,85d2b611,data/85d2b611/example/conf/app/6660ebf8.py,19,19,T,24,64,,,Secret
83128,57f701b2,GitHub,85d2b611,data/85d2b611/_/57f701b2.py,105,105,T,30,39,,,URL Credentials
83129,57f701b2,GitHub,85d2b611,data/85d2b611/_/57f701b2.py,106,106,T,34,43,,,URL Credentials
83130,57f701b2,GitHub,85d2b611,data/85d2b611/_/57f701b2.py,108,108,T,33,42,,,URL Credentials
110100,e52e4ddd,GitHub,85d2b611,data/85d2b611/test/conf/e52e4ddd.py,65,65,T,13,22,,server-creds,Key
