Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
4383,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,85,85,F,,,,,Token
7598,a555c539,GitHub,a0abd87c,data/a0abd87c/_/a555c539.py,50,50,F,,,,,Token
7641,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1259,1259,F,,,,,Token
7642,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1042,1042,F,,,,,Token
7643,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1198,1198,F,,,,,Token
7644,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,776,776,F,,,,,Token
7645,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,913,913,F,,,,,Token
7646,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,232,232,F,,,,,Token
7647,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,395,395,F,,,,,Token
7648,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,512,512,F,,,,,Token
7726,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1229,1229,F,,,,,Token
7741,29093b48,GitHub,a0abd87c,data/a0abd87c/test/29093b48.py,46,46,F,,,,,Token
7743,14fabf8b,GitHub,a0abd87c,data/a0abd87c/example/14fabf8b.py,7,7,F,,,,,Token
7961,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1302,1302,F,,,,,Token
7962,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,726,726,F,,,,,Token
8194,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1164,1164,F,,,,,Token
8276,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1350,1350,F,,,,,Token
8277,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1021,1021,F,,,,,Token
8278,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,625,625,F,,,,,Token
8279,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,820,820,F,,,,,Token
8828,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,45,45,F,,,,,Token
8829,73d08892,GitHub,a0abd87c,data/a0abd87c/lib/73d08892.py,29,29,F,,,,,Token
8830,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,52,52,F,,,,,Token
8832,da57da2a,GitHub,a0abd87c,data/a0abd87c/conf/da57da2a.py,125,125,F,,,,,Key
10890,15231524,GitHub,a0abd87c,data/a0abd87c/example/15231524.py,25,25,F,,,,,Token
15050,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,240,240,F,,,,,Token
15077,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1000,1000,F,,,,,Token
15079,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,520,520,F,,,,,Token
15103,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,1355,1355,F,,,,,Token
15104,5246398e,GitHub,a0abd87c,data/a0abd87c/_/5246398e.py,851,851,F,,,,,Token
