Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1767,60488be5,GitHub,a15774b8,data/a15774b8/docker/60488be5.py,42,42,F,,,,,Password
4332,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1235,1235,F,,,,,Password
7066,c9e921e6,GitHub,a15774b8,data/a15774b8/sample/c9e921e6.py,10,10,F,,,,,Password
8965,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1176,1176,F,,,,,Password
8966,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1170,1170,F,,,,,Password
14930,4921ffc4,GitHub,a15774b8,data/a15774b8/sample/server/4921ffc4.py,10,10,F,,,,,Password
30100,ddc84cdc,GitHub,a15774b8,data/a15774b8/conf/docker/ddc84cdc.py,338,338,X,21,42,,,Password
31205,ddc84cdc,GitHub,a15774b8,data/a15774b8/conf/docker/ddc84cdc.py,332,332,X,18,31,,,Password
32292,4fc08876,GitHub,a15774b8,data/a15774b8/_/4fc08876.py,24,24,T,11,23,,,Auth:Key
32355,eed3b7e7,GitHub,a15774b8,data/a15774b8/docker/eed3b7e7.py,382,382,T,18,26,,,Password
32367,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1168,1168,X,32,40,,,Password
34187,eed3b7e7,GitHub,a15774b8,data/a15774b8/docker/eed3b7e7.py,388,388,T,21,29,,,Password
34502,fa46a758,GitHub,a15774b8,data/a15774b8/docker/fa46a758.py,249,249,T,22,30,,,Password
34516,fa46a758,GitHub,a15774b8,data/a15774b8/docker/fa46a758.py,242,242,T,19,27,,,Password
36044,4aa8d675,GitHub,a15774b8,data/a15774b8/sample/conf/4aa8d675.py,20,20,T,45,53,,,Password
40569,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1174,1174,X,22,30,,,Password
43092,60488be5,GitHub,a15774b8,data/a15774b8/docker/60488be5.py,13,13,F,,,,,Password
43093,60488be5,GitHub,a15774b8,data/a15774b8/docker/60488be5.py,17,17,F,,,,,Password
83054,4edb47b7,GitHub,a15774b8,data/a15774b8/conf/docker/4edb47b7.py,332,332,X,18,31,,,Password
83055,4edb47b7,GitHub,a15774b8,data/a15774b8/conf/docker/4edb47b7.py,338,338,X,21,42,,,Password
131201,60488be5,GitHub,a15774b8,data/a15774b8/docker/60488be5.py,46,46,F,,,,,Password
131204,eed3b7e7,GitHub,a15774b8,data/a15774b8/docker/eed3b7e7.py,410,410,F,,,,,Password
131208,4aa8d675,GitHub,a15774b8,data/a15774b8/sample/conf/4aa8d675.py,24,24,F,,,,,Password
131237,fa46a758,GitHub,a15774b8,data/a15774b8/docker/fa46a758.py,270,270,F,,,,,Password
138042,4aa8d675,GitHub,a15774b8,data/a15774b8/sample/conf/4aa8d675.py,20,20,F,11,26,,,Password
1479448,eed3b7e7,GitHub,a15774b8,data/a15774b8/docker/eed3b7e7.py,358,358,F,44,61,,,CMD Password
1479449,fa46a758,GitHub,a15774b8,data/a15774b8/docker/fa46a758.py,221,221,F,44,61,,,CMD Password
1494611,0e722772,GitHub,a15774b8,data/a15774b8/sample/0e722772.py,231,231,T,19,27,,,Password
1494612,0e722772,GitHub,a15774b8,data/a15774b8/sample/0e722772.py,238,238,T,22,30,,,Password
1494618,85d4e34c,GitHub,a15774b8,data/a15774b8/docker/85d4e34c.py,242,242,T,19,27,,,Password
1494619,85d4e34c,GitHub,a15774b8,data/a15774b8/docker/85d4e34c.py,249,249,T,22,30,,,Password
1494620,90fe5e61,GitHub,a15774b8,data/a15774b8/docker/90fe5e61.py,436,436,T,18,26,,,Password
1494621,90fe5e61,GitHub,a15774b8,data/a15774b8/docker/90fe5e61.py,442,442,T,21,29,,,Password
1494623,c0d5700f,GitHub,a15774b8,data/a15774b8/sample/c0d5700f.py,231,231,T,19,27,,,Password
1494624,c0d5700f,GitHub,a15774b8,data/a15774b8/sample/c0d5700f.py,238,238,T,22,30,,,Password
1494627,fa5377ca,GitHub,a15774b8,data/a15774b8/docker/fa5377ca.py,909,909,T,18,26,,,Password
1494628,fa5377ca,GitHub,a15774b8,data/a15774b8/docker/fa5377ca.py,915,915,T,21,29,,,Password
1494629,ff46148a,GitHub,a15774b8,data/a15774b8/docker/ff46148a.py,577,577,T,18,26,,,Password
1494630,ff46148a,GitHub,a15774b8,data/a15774b8/docker/ff46148a.py,583,583,T,21,29,,,Password
11524145,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,127,127,F,,,,,Password
11529613,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,859,859,F,37,42,,,Auth
11529614,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,897,897,F,41,46,,,Auth
11529615,8175b361,GitHub,a15774b8,data/a15774b8/_/8175b361.py,1222,1222,F,37,42,,,Auth
