Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
6318,5a5f78fe,GitHub,a53cc03a,data/a53cc03a/example/5a5f78fe.py,28,28,F,,,,,Key
8518,5ad4c7b6,GitHub,a53cc03a,data/a53cc03a/test/5ad4c7b6.py,71,71,F,,,,,Key
9311,87187970,GitHub,a53cc03a,data/a53cc03a/example/87187970.py,29,29,F,,,,,Key
9770,22d866d5,GitHub,a53cc03a,data/a53cc03a/example/sample/22d866d5.py,17,17,F,,,,,Key
12060,056f329f,GitHub,a53cc03a,data/a53cc03a/test/056f329f.py,44,44,F,,,,,API
12141,6ac9e39a,GitHub,a53cc03a,data/a53cc03a/test/6ac9e39a.py,35,35,F,,,,,API
12142,6ac9e39a,GitHub,a53cc03a,data/a53cc03a/test/6ac9e39a.py,41,41,F,,,,,API
12143,056f329f,GitHub,a53cc03a,data/a53cc03a/test/056f329f.py,38,38,F,,,,,API
13995,c2a8158c,GitHub,a53cc03a,data/a53cc03a/test/c2a8158c.py,63,63,F,,,,,Key
14701,3b6dc131,GitHub,a53cc03a,data/a53cc03a/_/3b6dc131.py,62,62,F,,,,,Key
14702,c1756178,GitHub,a53cc03a,data/a53cc03a/_/c1756178.py,62,62,F,,,,,Key
14703,041f57bb,GitHub,a53cc03a,data/a53cc03a/_/041f57bb.py,19,19,F,,,,,Key
14704,afce987e,GitHub,a53cc03a,data/a53cc03a/code/afce987e.py,85,85,F,,,,,Key
16310,49f5c959,GitHub,a53cc03a,data/a53cc03a/code/build/49f5c959.py,424,424,F,,,,,Token
16567,d928bf5f,GitHub,a53cc03a,data/a53cc03a/example/d928bf5f.py,126,126,F,,,,,Password
16726,746975a2,GitHub,a53cc03a,data/a53cc03a/_/746975a2.py,12,12,F,,,,,Password
16727,d15ee41c,GitHub,a53cc03a,data/a53cc03a/_/d15ee41c.py,19,19,F,,,,,Password
17968,26746995,GitHub,a53cc03a,data/a53cc03a/code/26746995.py,30,30,F,,,,,Key
17969,115829f6,GitHub,a53cc03a,data/a53cc03a/resource/115829f6.py,12,12,F,,,,,Key
18043,cd2e73c4,GitHub,a53cc03a,data/a53cc03a/code/cd2e73c4.py,17,17,F,,,,,Key
18045,1f72342e,GitHub,a53cc03a,data/a53cc03a/_/1f72342e.py,28,28,F,,,,,Key
18667,49f5c959,GitHub,a53cc03a,data/a53cc03a/code/build/49f5c959.py,135,135,F,,,,,Credential
18668,724a11e3,GitHub,a53cc03a,data/a53cc03a/api/724a11e3.py,245,245,F,,,,,Credential
21590,f39efcc6,GitHub,a53cc03a,data/a53cc03a/_/f39efcc6.py,102,102,F,,,,,Password
21615,87187970,GitHub,a53cc03a,data/a53cc03a/example/87187970.py,37,37,F,,,,,Key
21926,f39efcc6,GitHub,a53cc03a,data/a53cc03a/_/f39efcc6.py,93,93,F,,,,,Key
22101,f39efcc6,GitHub,a53cc03a,data/a53cc03a/_/f39efcc6.py,94,94,F,,,,,Key
22302,40696d53,GitHub,a53cc03a,data/a53cc03a/_/40696d53.py,262,262,F,,,,,Password
23051,056f329f,GitHub,a53cc03a,data/a53cc03a/test/056f329f.py,13,13,F,,,,,API
23052,c7560280,GitHub,a53cc03a,data/a53cc03a/test/c7560280.py,14,14,F,,,,,API
23258,3a983a64,GitHub,a53cc03a,data/a53cc03a/example/3a983a64.py,87,87,F,,,,,Key
23263,c91eaccb,GitHub,a53cc03a,data/a53cc03a/test/server/c91eaccb.py,31,31,F,,,,,Key
23264,e619d4f6,GitHub,a53cc03a,data/a53cc03a/code/example/e619d4f6.py,73,73,F,,,,,Key
23270,257b71bf,GitHub,a53cc03a,data/a53cc03a/test/257b71bf.py,164,164,F,,,,,Key
23280,e619d4f6,GitHub,a53cc03a,data/a53cc03a/code/example/e619d4f6.py,51,51,F,,,,,Key
23320,72f50ee1,GitHub,a53cc03a,data/a53cc03a/example/api/72f50ee1.py,103,103,F,,,,,Credential
24780,e619d4f6,GitHub,a53cc03a,data/a53cc03a/code/example/e619d4f6.py,53,53,F,,,,,Key
25098,6ac9e39a,GitHub,a53cc03a,data/a53cc03a/test/6ac9e39a.py,12,12,F,,,,,API
25732,9874ea4e,GitHub,a53cc03a,data/a53cc03a/example/secret/9874ea4e.py,18,18,F,,,,,Secret
25749,2c36e900,GitHub,a53cc03a,data/a53cc03a/example/secret/2c36e900.py,13,13,F,,,,,Secret
26842,c25b8370,GitHub,a53cc03a,data/a53cc03a/example/c25b8370.py,33,33,T,22,32,,,Password
31127,257b71bf,GitHub,a53cc03a,data/a53cc03a/test/257b71bf.py,11,11,F,11,74,,,Key
31165,0f44be5f,GitHub,a53cc03a,data/a53cc03a/test/0f44be5f.py,28,28,T,32,44,,,Password
33529,72e31b06,GitHub,a53cc03a,data/a53cc03a/example/72e31b06.py,18,18,T,44,54,,,Password
33926,0f44be5f,GitHub,a53cc03a,data/a53cc03a/test/0f44be5f.py,140,140,T,32,42,,,Password
33934,36888755,GitHub,a53cc03a,data/a53cc03a/example/36888755.py,24,24,T,28,38,,,Password
37077,0f44be5f,GitHub,a53cc03a,data/a53cc03a/test/0f44be5f.py,164,164,T,32,42,,,Password
37078,0f44be5f,GitHub,a53cc03a,data/a53cc03a/test/0f44be5f.py,177,177,T,32,42,,,Password
37079,0f44be5f,GitHub,a53cc03a,data/a53cc03a/test/0f44be5f.py,190,190,T,32,42,,,Password
