Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
6116,fd3c0d11,GitHub,ab473e6e,data/ab473e6e/_/fd3c0d11.py,52,52,F,,,,,Key
8815,50d5bcf1,GitHub,ab473e6e,data/ab473e6e/_/50d5bcf1.py,795,795,F,,,,,Key
9003,c7b41441,GitHub,ab473e6e,data/ab473e6e/_/c7b41441.py,45,45,F,,,,,Key
12262,b01f7fc4,GitHub,ab473e6e,data/ab473e6e/_/b01f7fc4.py,1101,1101,F,,,,,Key
14405,b96e53af,GitHub,ab473e6e,data/ab473e6e/server/b96e53af.py,77,77,F,,,,,Password
14406,fd3c0d11,GitHub,ab473e6e,data/ab473e6e/_/fd3c0d11.py,51,51,F,,,,,Password
29318,cc3633ac,GitHub,ab473e6e,data/ab473e6e/_/cc3633ac.py,135,135,T,50,56,,,Password
32172,cc3633ac,GitHub,ab473e6e,data/ab473e6e/_/cc3633ac.py,236,236,T,53,65,,,Password
75210,b01f7fc4,GitHub,ab473e6e,data/ab473e6e/_/b01f7fc4.py,901,901,F,,,,,Key
100360,fd3c0d11,GitHub,ab473e6e,data/ab473e6e/_/fd3c0d11.py,50,50,F,,,,,Password
100361,cc3633ac,GitHub,ab473e6e,data/ab473e6e/_/cc3633ac.py,72,72,F,,,,,Password
100362,b96e53af,GitHub,ab473e6e,data/ab473e6e/server/b96e53af.py,68,68,F,,,,,Password
100363,b96e53af,GitHub,ab473e6e,data/ab473e6e/server/b96e53af.py,78,78,F,,,,,Password
100364,b96e53af,GitHub,ab473e6e,data/ab473e6e/server/b96e53af.py,79,79,F,,,,,Password
100365,b01f7fc4,GitHub,ab473e6e,data/ab473e6e/_/b01f7fc4.py,288,288,F,,,,,Password
130073,fd3c0d11,GitHub,ab473e6e,data/ab473e6e/_/fd3c0d11.py,100,100,F,,,,,Password
130074,b01f7fc4,GitHub,ab473e6e,data/ab473e6e/_/b01f7fc4.py,879,879,F,,,,,Password
