Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
1007,29319cea,GitHub,b88a4e51,data/b88a4e51/_/29319cea.py,226,226,F,,,,,Password
1338,4c1174da,GitHub,b88a4e51,data/b88a4e51/_/4c1174da.py,142,142,F,,,,,Password
1339,4c1174da,GitHub,b88a4e51,data/b88a4e51/_/4c1174da.py,99,99,F,,,,,Password
1340,4c1174da,GitHub,b88a4e51,data/b88a4e51/_/4c1174da.py,18,18,F,,,,,Password
8470,29319cea,GitHub,b88a4e51,data/b88a4e51/_/29319cea.py,21,21,F,,,,,Password
8833,06a9a7fe,GitHub,b88a4e51,data/b88a4e51/_/06a9a7fe.py,24,24,F,,,,,Password
9149,c496e779,GitHub,b88a4e51,data/b88a4e51/model/c496e779.py,81,81,F,,,,,Password
10219,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,9,9,F,,,,,Key
10220,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,13,13,F,,,,,Key
10221,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,11,11,F,,,,,Key
10222,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,15,15,F,,,,,Key
10225,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,20,20,F,,,,,Key
10226,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,26,26,F,,,,,Key
10227,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,28,28,F,,,,,Key
10229,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,7,7,F,,,,,Key
10242,9396efba,GitHub,b88a4e51,data/b88a4e51/_/9396efba.py,22,22,F,,,,,Key
12035,c496e779,GitHub,b88a4e51,data/b88a4e51/model/c496e779.py,30,30,F,,,,,Password
14428,53719e6f,GitHub,b88a4e51,data/b88a4e51/_/53719e6f.py,106,106,F,,,,,Password
14459,f625f344,GitHub,b88a4e51,data/b88a4e51/src/docker/f625f344.py,629,629,F,,,,,Password
15378,352eae71,GitHub,b88a4e51,data/b88a4e51/_/352eae71.py,9,9,F,,,,,Password
23840,37a6d23b,GitHub,b88a4e51,data/b88a4e51/setting/37a6d23b.py,166,166,F,,,,,Password
29235,37a6d23b,GitHub,b88a4e51,data/b88a4e51/setting/37a6d23b.py,126,126,X,21,27,,,Password
29500,3b2c587b,GitHub,b88a4e51,data/b88a4e51/_/3b2c587b.py,6,6,T,20,52,,,Key
32539,37a6d23b,GitHub,b88a4e51,data/b88a4e51/setting/37a6d23b.py,141,141,T,36,45,,,Password
33787,37a6d23b,GitHub,b88a4e51,data/b88a4e51/setting/37a6d23b.py,27,27,T,14,64,,,Key:Secret
36045,f625f344,GitHub,b88a4e51,data/b88a4e51/src/docker/f625f344.py,598,598,F,23,29,,,Password
42902,f625f344,GitHub,b88a4e51,data/b88a4e51/src/docker/f625f344.py,655,655,F,,,,,Password
63439,4c1174da,GitHub,b88a4e51,data/b88a4e51/_/4c1174da.py,44,44,F,,,,,Password
