Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
2512,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,89,89,F,,,,,Token
6367,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,158,158,F,,,,,Auth
6494,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,422,422,F,,,,,Token
7750,2a0e7bcd,GitHub,c9b945fa,data/c9b945fa/test/2a0e7bcd.py,35,35,F,,,,,Token
8576,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,449,449,F,,,,,Token
8596,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,254,254,F,,,,,Token
8597,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,297,297,F,,,,,Auth
8598,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,281,281,X,49,65,,,Secret:Token
8600,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,273,273,F,,,,,Key
8601,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,442,442,F,,,,,Token
8646,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,79,79,F,,,,,Token
8650,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,17,17,F,,,,,Token
8819,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,128,128,F,,,,,Token
8820,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,137,137,F,,,,,Token
8821,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,78,78,F,,,,,Token
9122,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,29,29,F,,,,,Token
13288,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,415,415,F,,,,,Token
13703,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,166,166,F,,,,,Key
13707,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,321,321,F,,,,,Key
16149,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,356,356,F,,,,,Token
17687,1bd4e472,GitHub,c9b945fa,data/c9b945fa/_/1bd4e472.py,17,17,F,,,,,Token
19351,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,127,127,F,,,,,Key
20161,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,216,216,F,,,,,Token
20187,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,262,262,F,,,,,Token
22334,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,244,244,F,,,,,Auth
26420,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,74,74,F,,,,,Auth
27373,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,126,126,F,50,59,,,Token
27499,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,346,346,X,49,59,,,Secret:Token
27783,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,97,97,T,24,40,,,Auth:Token
28144,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,106,106,X,35,44,,,Token
28927,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,245,245,X,35,46,,,Auth:Secret:Token
29464,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,162,162,X,48,51,,,Auth:Token
29497,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,52,52,X,30,46,,,Secret
29564,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,440,440,X,29,39,,,Token
30739,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,41,41,T,27,43,,,Secret
30938,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,247,247,X,71,77,,,Secret
30939,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,232,232,X,71,77,,,Secret
30943,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,66,66,X,25,31,,,Secret
32388,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,305,305,T,72,84,,,Auth:Token
32392,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,65,65,F,22,32,,,Key
33896,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,33,59,T,,,Private,,PEM Private Key
34445,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,44,44,T,29,53,,,Token
34446,2a0e7bcd,GitHub,c9b945fa,data/c9b945fa/test/2a0e7bcd.py,14,14,T,29,53,,,Token
34447,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,302,302,T,33,73,,,Token
34470,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,276,276,T,32,72,,,Token
34490,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,105,105,X,30,39,,,Password
34778,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,54,54,X,30,43,,,Password
34858,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,192,192,X,63,78,,,Token
34859,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,136,136,X,80,85,,,Token
34860,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,70,70,X,74,80,,,Token
34861,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,74,74,X,66,70,,,Password:Secret
34892,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,157,157,T,17,28,,,Token
35037,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,45,45,T,30,51,,,Token
35088,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,305,305,T,34,74,,,Token
35089,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,279,279,T,33,73,,,Token
35147,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,77,77,F,50,56,,,Token
35148,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,44,44,F,50,60,,,Token
35149,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,150,150,F,50,55,,,Token
36308,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,158,158,T,35,65,,,Slack Token:Token
36421,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,98,98,T,31,50,,,Auth:Secret:Token
36423,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,79,79,T,24,35,,,Auth:Token
36435,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,80,80,T,31,44,,,Token:Auth:Secret
36466,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,85,85,T,57,73,,,Auth:Token
36467,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,241,241,T,61,77,,,Auth:Token
36691,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,335,335,T,72,84,,,Auth:Token
37188,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,249,249,X,30,39,,,Password
37252,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,204,204,X,63,78,,,Token
37731,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,236,236,T,35,54,,,Auth:Secret:Token
37732,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,251,251,T,35,54,,,Auth:Secret:Token
37733,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,283,283,T,35,54,,,Auth:Secret:Token
37734,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,316,316,T,35,54,,,Auth:Secret:Token
37735,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,91,91,T,23,34,,,Auth:Token
37736,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,309,309,T,27,38,,,Auth:Token
37737,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,339,339,T,27,38,,,Auth:Token
37743,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,92,92,T,30,43,,,Token:Auth:Secret
37744,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,310,310,T,34,47,,,Token:Auth:Secret
37745,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,340,340,T,34,47,,,Token:Auth:Secret
37763,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,254,254,T,61,77,,,Auth:Token
42314,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,239,239,T,61,77,,,Auth:Token
42315,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,235,235,T,28,44,,,Auth:Token
42316,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,250,250,T,28,44,,,Auth:Token
42317,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,282,282,T,28,44,,,Auth:Token
42318,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,315,315,T,28,44,,,Auth:Token
46477,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,219,219,X,65,74,,,Password:Token
53773,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,290,290,F,,,,,Key
54744,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,261,261,F,,,,,Auth
54745,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,262,262,X,35,46,,,Auth:Secret:Token
57325,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,59,59,F,,,,,Token
57868,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,279,279,X,71,77,,,Secret
57869,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,306,306,X,71,77,,,Secret
57870,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,336,336,X,71,77,,,Secret
75077,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,161,161,F,,,,,Key
75209,1bd4e472,GitHub,c9b945fa,data/c9b945fa/_/1bd4e472.py,20,20,F,,,,,Token
75262,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,348,348,F,,,,,Token
75263,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,387,387,F,,,,,Token
75289,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,456,456,F,,,,,Token
75290,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,324,324,F,,,,,Auth
75291,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,453,453,F,,,,,Token
75454,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,67,67,F,,,,,Token
82642,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,65,65,T,27,43,,,Secret
82643,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,117,117,T,27,43,,,Secret
82644,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,147,147,T,27,43,,,Secret
82645,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,223,223,F,52,61,,,Token
82646,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,241,241,X,65,74,,,Password:Token
82647,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,297,297,X,36,52,,,Secret
82648,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,405,405,X,69,78,,,Password:Token
82649,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,410,410,X,65,74,,,Password
82650,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,492,492,X,65,74,,,Password:Token
82651,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,495,495,F,48,57,,,Token
108019,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,359,359,F,,,,,Secret
108020,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,228,228,F,,,,,Secret
108021,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,309,309,F,,,,,Secret
108027,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,268,268,F,,,,,Secret
108030,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,93,93,T,26,37,,,Auth
108031,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,311,311,T,30,41,,,Auth
108032,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,341,341,T,30,41,,,Auth
114327,2a0e7bcd,GitHub,c9b945fa,data/c9b945fa/test/2a0e7bcd.py,45,45,F,,,,,Token
114328,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,246,246,F,,,,,Auth
114329,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,263,263,F,,,,,Auth
114330,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,452,452,F,,,,,Token
114331,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,123,123,X,68,71,,,Auth:Key
114332,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,286,286,X,68,71,,,Auth:Key
114333,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,314,314,X,68,71,,,Auth:Key
131401,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,212,212,F,,,,,Password
131402,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,149,149,T,169,199,,,Auth
131404,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,110,110,T,169,199,,,Auth
131405,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,115,115,F,,,,,Auth
132543,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,139,139,T,169,199,,,Auth
134580,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,173,173,F,,,,,Auth
134581,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,182,182,F,,,,,Auth
134582,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,193,193,F,,,,,Auth
134583,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,202,202,F,,,,,Auth
134584,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,215,215,F,,,,,Auth
134585,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,222,222,F,,,,,Auth
134586,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,228,228,F,,,,,Auth
135003,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,305,305,T,104,117,,,Auth:Secret:Token
1135003,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,305,305,T,133,144,,,Auth
135004,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,335,335,T,104,117,,,Auth:Secret:Token
1135004,f6f5ef7e,GitHub,c9b945fa,data/c9b945fa/_/f6f5ef7e.py,335,335,T,133,144,,,Auth
138082,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,110,110,F,114,123,,,Auth
138083,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,123,123,F,37,45,,,Auth
138090,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,139,139,F,114,123,,,Auth
138097,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,149,149,F,114,123,,,Auth
138098,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,286,286,F,37,45,,,Auth
138099,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,314,314,F,37,45,,,Auth
138100,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,223,223,T,74,83,,,Password
138101,eee38f11,GitHub,c9b945fa,data/c9b945fa/test/eee38f11.py,495,495,T,70,79,,,Password
1479554,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,124,124,F,30,35,,,Auth
1479555,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,287,287,F,30,35,,,Auth
11530628,a1cb7340,GitHub,c9b945fa,data/c9b945fa/_/a1cb7340.py,30,30,F,56,64,,,Auth
11530635,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,315,315,F,52,57,,,Auth
11530636,0cb23f01,GitHub,c9b945fa,data/c9b945fa/test/0cb23f01.py,332,332,F,50,55,,,Auth
11536614,cb378009,GitHub,c9b945fa,data/c9b945fa/test/cb378009.py,235,235,T,47,74,,info,AWS S3 Bucket
