Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,ValueStart,ValueEnd,CryptographyKey,PredefinedPattern,Category
26,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,185,185,F,,,,,Secret
355,05fdef55,GitHub,d518da13,data/d518da13/test/05fdef55.py,85,85,F,,,,,Auth
405,05fdef55,GitHub,d518da13,data/d518da13/test/05fdef55.py,93,93,F,,,,,Auth
5833,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,23,23,F,,,,,API
5834,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,18,18,F,,,,,API
5838,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,14,14,F,,,,,API
5839,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,19,19,F,,,,,API
5851,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,24,24,F,,,,,API
6275,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,240,240,F,,,,,Password
13789,d5054df5,GitHub,d518da13,data/d518da13/test/d5054df5.py,11,11,F,,,,,API
14384,3a2aa9de,GitHub,d518da13,data/d518da13/script/3a2aa9de.py,94,94,F,,,,,Key
14865,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,221,221,F,,,,,Password
15344,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,168,168,F,,,,,API
15346,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,180,180,F,,,,,API
15347,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,181,181,F,,,,,Secret
16107,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,204,204,F,,,,,API
16112,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,213,213,F,,,,,API
16184,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,222,222,F,,,,,API
16492,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,188,188,F,,,,,API
16839,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,197,197,F,,,,,Token
22592,454c124c,GitHub,d518da13,data/d518da13/api/454c124c.py,13,13,F,,,,,API
23809,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,79,79,F,,,,,Secret
25138,330e786c,GitHub,d518da13,data/d518da13/conf/setting/330e786c.py,19,19,F,,,,,Secret
25139,788a964a,GitHub,d518da13,data/d518da13/test/conf/setting/788a964a.py,11,11,F,,,,,Secret
29038,803c3fdf,GitHub,d518da13,data/d518da13/test/803c3fdf.py,29,29,T,30,48,,,Password
29045,803c3fdf,GitHub,d518da13,data/d518da13/test/803c3fdf.py,30,30,T,30,48,,,Password
11530750,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,220,220,F,26,35,,,Password
11530751,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,239,239,F,31,40,,,Password
11530752,86017104,GitHub,d518da13,data/d518da13/_/86017104.py,263,263,F,26,53,,,Secret:Key
11530753,788a964a,GitHub,d518da13,data/d518da13/test/conf/setting/788a964a.py,21,21,F,21,66,,,Password
